,album_name,song_name,song_urls
0,"EP: ""Kendrick Lamar"" (2009)",Is It Love,/lyrics/kendricklamar/isitlove.html
1,"EP: ""Kendrick Lamar"" (2009)",Celebration,/lyrics/kendricklamar/celebration.html
2,"EP: ""Kendrick Lamar"" (2009)",P & P,/lyrics/kendricklamar/pp.html
3,"EP: ""Kendrick Lamar"" (2009)",She Needs Me,/lyrics/kendricklamar/sheneedsme.html
4,"EP: ""Kendrick Lamar"" (2009)",I Am (Interlude),/lyrics/kendricklamar/iaminterlude.html
5,"EP: ""Kendrick Lamar"" (2009)",Wanna Be Heard,/lyrics/kendricklamar/wannabeheard.html
6,"EP: ""Kendrick Lamar"" (2009)",I Do This,/lyrics/kendricklamar/idothis.html
7,"EP: ""Kendrick Lamar"" (2009)",Uncle Bobby & Jason Keaton,/lyrics/kendricklamar/unclebobbyjasonkeaton.html
8,"EP: ""Kendrick Lamar"" (2009)",Faith,/lyrics/kendricklamar/faith.html
9,"EP: ""Kendrick Lamar"" (2009)",Trip,/lyrics/kendricklamar/trip.html
10,"EP: ""Kendrick Lamar"" (2009)",Vanity Slaves,/lyrics/kendricklamar/vanityslaves.html
11,"EP: ""Kendrick Lamar"" (2009)",Far From Here,/lyrics/kendricklamar/farfromhere.html
12,"EP: ""Kendrick Lamar"" (2009)",Thanksgiving,/lyrics/kendricklamar/thanksgiving.html
13,"EP: ""Kendrick Lamar"" (2009)",Let Me Be Me,/lyrics/kendricklamar/letmebeme.html
14,"EP: ""Kendrick Lamar"" (2009)",Determined,/lyrics/kendricklamar/determined.html
15,"EP: ""Kendrick Lamar"" (2009)",Today,/lyrics/kendricklamar/today.html
16,"EP: ""Kendrick Lamar"" (2009)",Vanity Slaves Pt. 2,/lyrics/kendricklamar/vanityslavespt2.html
17,"mixtape: ""Overly Dedicated"" (2010)",The Heart Pt. 2,/lyrics/kendricklamar/theheartpt2.html
18,"mixtape: ""Overly Dedicated"" (2010)",Growing Apart (To Get Closer),/lyrics/kendricklamar/growingaparttogetcloser.html
